Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  3  ,  3  ,  3.0  ,  1.25  ,  1.5  ,  1.37529375  ,  10  ,  12  ,  11.00235  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  4  ,  4  ,  4.0  ,  1.22222222222  ,  1.55555555556  ,  1.38933444444  ,  11  ,  14  ,  12.50401  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  5  ,  5  ,  5.0  ,  1.2  ,  2.1  ,  1.499276  ,  12  ,  21  ,  14.99276  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  6  ,  6  ,  6.0  ,  1.18181818182  ,  2.18181818182  ,  1.67973818182  ,  13  ,  24  ,  18.47712  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  7  ,  7  ,  7.0  ,  1.16666666667  ,  2.25  ,  1.83179833333  ,  14  ,  27  ,  21.98158  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  8  ,  8  ,  8.0  ,  1.15384615385  ,  2.30769230769  ,  1.96121  ,  15  ,  30  ,  25.49573  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  9  ,  9  ,  9.0  ,  1.71428571429  ,  2.92857142857  ,  2.07253857143  ,  24  ,  41  ,  29.01554  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  10  ,  10  ,  10.0  ,  1.66666666667  ,  2.93333333333  ,  2.16846266667  ,  25  ,  44  ,  32.52694  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  11  ,  11  ,  11.0  ,  1.625  ,  2.9375  ,  2.248993125  ,  26  ,  47  ,  35.98389  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  12  ,  12  ,  12.0  ,  1.58823529412  ,  2.94117647059  ,  2.3208782353  ,  27  ,  50  ,  39.45493  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  13  ,  13  ,  13.0  ,  1.55555555556  ,  2.94444444444  ,  2.389355  ,  28  ,  53  ,  43.00839  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  14  ,  14  ,  14.0  ,  1.52631578947  ,  2.94736842105  ,  2.44564526316  ,  29  ,  56  ,  46.46726  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  15  ,  15  ,  15.0  ,  1.5  ,  2.95  ,  2.4977015  ,  30  ,  59  ,  49.95403  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  16  ,  16  ,  16.0  ,  1.47619047619  ,  2.95238095238  ,  2.54718904762  ,  31  ,  62  ,  53.49097  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  17  ,  17  ,  17.0  ,  2.18181818182  ,  3.68181818182  ,  2.59167318182  ,  48  ,  81  ,  57.01681  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  18  ,  18  ,  18.0  ,  2.13043478261  ,  3.65217391304  ,  2.62899478261  ,  49  ,  84  ,  60.46688  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  19  ,  19  ,  19.0  ,  2.08333333333  ,  3.625  ,  2.66604958333  ,  50  ,  87  ,  63.98519  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  2.04  ,  3.6  ,  2.6961732  ,  51  ,  90  ,  67.40433  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  21  ,  21  ,  21.0  ,  2.0  ,  3.57692307692  ,  2.72936115385  ,  52  ,  93  ,  70.96339  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  22  ,  22  ,  22.0  ,  1.96296296296  ,  3.55555555556  ,  2.75775222222  ,  53  ,  96  ,  74.45931  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  23  ,  23  ,  23.0  ,  1.92857142857  ,  3.53571428571  ,  2.7888775  ,  54  ,  99  ,  78.08857  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  24  ,  24  ,  24.0  ,  1.89655172414  ,  3.51724137931  ,  2.81212206897  ,  55  ,  102  ,  81.55154  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  25  ,  25  ,  25.0  ,  1.86666666667  ,  3.5  ,  2.83216233333  ,  56  ,  105  ,  84.96487  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  26  ,  26  ,  26.0  ,  1.83870967742  ,  3.48387096774  ,  2.85151451613  ,  57  ,  108  ,  88.39695  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  27  ,  27  ,  27.0  ,  1.8125  ,  3.46875  ,  2.8751740625  ,  58  ,  111  ,  92.00557  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  28  ,  28  ,  28.0  ,  1.78787878788  ,  3.45454545455  ,  2.89351939394  ,  59  ,  114  ,  95.48614  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  29  ,  29  ,  29.0  ,  1.76470588235  ,  3.44117647059  ,  2.91289323529  ,  60  ,  117  ,  99.03837  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  30  ,  30  ,  30.0  ,  1.74285714286  ,  3.42857142857  ,  2.92965  ,  61  ,  120  ,  102.53775  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  31  ,  31  ,  31.0  ,  1.72222222222  ,  3.41666666667  ,  2.94419194444  ,  62  ,  123  ,  105.99091  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  32  ,  32  ,  32.0  ,  1.7027027027  ,  3.40540540541  ,  2.95921972973  ,  63  ,  126  ,  109.49113  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  33  ,  33  ,  33.0  ,  2.52631578947  ,  4.23684210526  ,  2.97393210526  ,  96  ,  161  ,  113.00942  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  34  ,  34  ,  34.0  ,  2.48717948718  ,  4.20512820513  ,  2.98532923077  ,  97  ,  164  ,  116.42784  ,
PacketMinSketch ,  32 ,  2 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  35  ,  35  ,  35.0  ,  2.45  ,  4.175  ,  2.99941875  ,  98  ,  167  ,  119.97675  ,
