b,AvgB,Th,AvgL,AvgTime
3,2,2,3.0,2.199982
3,2,2,4.0,2.58445
3,2,2,5.0,2.85678285714
3,2,2,6.0,2.9381475
3,2,2,7.0,3.00025555556
3,2,2,8.0,3.049649
3,2,2,9.0,3.09267
3,2,2,10.0,3.29133833333
3,2,2,11.0,3.46138230769
3,2,2,12.0,3.60520285714
3,2,2,13.0,3.73326933333
3,2,2,14.0,3.781373125
3,2,2,15.0,3.76333705882
3,2,2,16.0,3.74957722222
3,2,2,17.0,3.73677368421
3,2,2,18.0,3.7251145
3,2,2,19.0,3.71507666667
3,2,2,20.0,3.70663636364
3,2,2,21.0,3.69538478261
3,2,2,22.0,3.68682083333
3,2,2,23.0,3.6774392
3,2,2,24.0,3.67382153846
3,2,2,25.0,3.66465555556
3,2,2,26.0,3.66011642857
3,2,2,27.0,3.65453068966
3,2,2,28.0,3.71729066667
3,2,2,29.0,3.77577354839
3,2,2,30.0,3.828681875
3,2,2,31.0,3.88122333333
3,2,2,32.0,3.92823735294
3,2,2,33.0,3.97307685714
3,2,2,34.0,4.01227611111
3,2,2,35.0,4.05343324324
3,2,2,36.0,4.09073657895
3,2,2,37.0,4.12874666667
3,2,2,38.0,4.16236425
3,2,2,39.0,4.1952104878
3,2,2,40.0,4.22585428571
3,2,2,41.0,4.23304465116
3,2,2,42.0,4.21649545455
3,2,2,43.0,4.19998266667
3,2,2,44.0,4.18522630435
3,2,2,45.0,4.17020276596
3,2,2,46.0,4.15637
3,2,2,47.0,4.14512020408
3,2,2,48.0,4.1289168
3,2,2,49.0,4.11889235294
3,2,2,50.0,4.10600423077
3,2,2,51.0,4.09332754717
3,2,2,52.0,4.08202444444
3,2,2,53.0,4.07276618182
3,2,2,54.0,4.06181875
3,2,2,55.0,4.05116473684
3,2,2,56.0,4.04262258621
3,2,2,57.0,4.03406457627
3,2,2,58.0,4.02486566667
3,2,2,59.0,4.0166047541
3,2,2,60.0,4.00756080645
3,2,2,61.0,3.99958936508
3,2,2,62.0,3.99188921875
3,2,2,63.0,3.98433538462
3,2,2,64.0,3.97782621212
3,2,2,65.0,3.97048268657
3,2,2,66.0,3.96225
3,2,2,67.0,3.95617173913
3,2,2,68.0,3.95087814286
3,2,2,69.0,3.94089704225
3,2,2,70.0,3.93551416667
3,2,2,71.0,3.9318339726
3,2,2,72.0,3.92601310811
3,2,2,73.0,3.9216392
3,2,2,74.0,3.91321276316
3,2,2,75.0,3.90854116883
3,2,2,76.0,3.90373435897
3,2,2,77.0,3.89850278481
3,2,2,78.0,3.893054375
3,2,2,79.0,3.88933283951
3,2,2,80.0,3.88310890244
3,2,2,81.0,3.87967963855
3,2,2,82.0,3.89968761905
3,2,2,83.0,3.91692647059
3,2,2,84.0,3.93358697674
3,2,2,85.0,3.95206678161
3,2,2,86.0,3.97150954545
3,2,2,87.0,3.98819764045
3,2,2,88.0,4.00898477778
3,2,2,89.0,4.01917747253
3,2,2,90.0,4.03487695652
3,2,2,91.0,4.05405860215
3,2,2,92.0,4.06471797872
3,2,2,93.0,4.08349442105
3,2,2,94.0,4.09753697917
3,2,2,95.0,4.11218061856
3,2,2,96.0,4.12547091837
3,2,2,97.0,4.14155313131
3,2,2,98.0,4.1538169
3,2,2,99.0,4.16581227723
3,5,2,3.0,1.74892875
3,5,2,4.0,2.05425888889
3,5,2,5.0,2.166731
3,5,2,6.0,2.26547454546
3,5,2,7.0,2.35493166667
3,5,2,8.0,2.43277923077
3,5,2,9.0,2.49911285714
3,5,2,10.0,2.63426266667
3,5,2,11.0,2.81033
3,5,2,12.0,2.97065705882
3,5,2,13.0,3.11003888889
3,5,2,14.0,3.18357052632
3,5,2,15.0,3.199769
3,5,2,16.0,3.21422142857
3,5,2,17.0,3.22847
3,5,2,18.0,3.23849043478
3,5,2,19.0,3.24993541667
3,5,2,20.0,3.2578212
3,5,2,21.0,3.26866538462
3,5,2,22.0,3.27564851852
3,5,2,23.0,3.2846425
3,5,2,24.0,3.29271793103
3,5,2,25.0,3.299529
3,5,2,26.0,3.30776419355
3,5,2,27.0,3.310355
3,5,2,28.0,3.37725757576
3,5,2,29.0,3.44147794118
3,5,2,30.0,3.49984714286
3,5,2,31.0,3.55647638889
3,5,2,32.0,3.61018621622
3,5,2,33.0,3.65513894737
3,5,2,34.0,3.70770717949
3,5,2,35.0,3.75107875
3,5,2,36.0,3.79217414634
3,5,2,37.0,3.83251904762
3,5,2,38.0,3.8723
3,5,2,39.0,3.90848477273
3,5,2,40.0,3.94468444444
3,5,2,41.0,3.95662717391
3,5,2,42.0,3.94713957447
3,5,2,43.0,3.93737895833
3,5,2,44.0,3.93018081633
3,5,2,45.0,3.9194876
3,5,2,46.0,3.91343196078
3,5,2,47.0,3.90335480769
3,5,2,48.0,3.89577830189
3,5,2,49.0,3.88735388889
3,5,2,50.0,3.88252290909
3,5,2,51.0,3.87372821429
3,5,2,52.0,3.86721596491
3,5,2,53.0,3.86144534483
3,5,2,54.0,3.85601169491
3,5,2,55.0,3.85016333333
3,5,2,56.0,3.84468229508
3,5,2,57.0,3.83889967742
3,5,2,58.0,3.83342761905
3,5,2,59.0,3.827389375
3,5,2,60.0,3.82361230769
3,5,2,61.0,3.81958712121
3,5,2,62.0,3.8147938806
3,5,2,63.0,3.80776720588
3,5,2,64.0,3.80447768116
3,5,2,65.0,3.801566
3,5,2,66.0,3.79339169014
3,5,2,67.0,3.78986722222
3,5,2,68.0,3.78701
3,5,2,69.0,3.78398067568
3,5,2,70.0,3.78181866667
3,5,2,71.0,3.77511092105
3,5,2,72.0,3.77268935065
3,5,2,73.0,3.77033153846
3,5,2,74.0,3.76442063291
3,5,2,75.0,3.762370375
3,5,2,76.0,3.76017432099
3,5,2,77.0,3.75615987805
3,5,2,78.0,3.75329301205
3,5,2,79.0,3.75014416667
3,5,2,80.0,3.74575117647
3,5,2,81.0,3.74246162791
3,5,2,82.0,3.76287850575
3,5,2,83.0,3.78516363636
3,5,2,84.0,3.80251640449
3,5,2,85.0,3.82241822222
3,5,2,86.0,3.83969362637
3,5,2,87.0,3.857025
3,5,2,88.0,3.87801526882
3,5,2,89.0,3.89073946809
3,5,2,90.0,3.91043978947
3,5,2,91.0,3.92472177083
3,5,2,92.0,3.94125886598
