Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0  ,  3.5625  ,  2.31891833424  ,  3  ,  87  ,  38.29691  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0  ,  3.11111111111  ,  1.70004735212  ,  3  ,  63  ,  28.14039  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0  ,  2.04166666667  ,  1.47082250045  ,  3  ,  50  ,  24.14671  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0  ,  3.1  ,  2.34486500395  ,  3  ,  67  ,  38.86992  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0  ,  2.72727272727  ,  1.70145411773  ,  3  ,  45  ,  28.17991  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0  ,  1.73333333333  ,  1.35435138356  ,  3  ,  37  ,  22.52593  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0  ,  3.13333333333  ,  1.96728823307  ,  3  ,  77  ,  32.75952  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  1.46275  ,  2  ,  25  ,  14.95833  ,  1.0  ,  2.8125  ,  1.46405154723  ,  3  ,  53  ,  24.53199  ,
