Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  3.0  ,  1.47469710895  ,  3  ,  24  ,  9.77589  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.0  ,  1.13234609271  ,  3  ,  18  ,  7.50255  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  1.5  ,  1.04419582035  ,  3  ,  14  ,  6.96204  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  3.0  ,  1.55635658045  ,  3  ,  24  ,  10.32639  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.0  ,  1.16982454473  ,  3  ,  16  ,  7.74096  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  1.5  ,  1.0145305469  ,  3  ,  14  ,  6.74411  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  3.77777777778  ,  1.63246679582  ,  3  ,  34  ,  10.90314  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.44444444444  ,  1.23456700649  ,  3  ,  22  ,  8.15722  ,
PacketMinSketch ,  32 ,  5 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.0  ,  1.06913348016  ,  3  ,  16  ,  7.05819  ,

PacketMinSketch ,  32 ,  6 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  4.6  ,  1.65978301335  ,  3  ,  46  ,  11.15193  ,
PacketMinSketch ,  32 ,  6 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.8  ,  1.22536793543  ,  3  ,  28  ,  8.13119  ,
PacketMinSketch ,  32 ,  6 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.0  ,  1.06506166306  ,  3  ,  19  ,  7.04164  ,

PacketMinSketch ,  32 ,  7 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.75  ,  1.64632013348  ,  3  ,  19  ,  11.08672  ,
PacketMinSketch ,  32 ,  7 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.0  ,  1.28082316198  ,  3  ,  13  ,  8.48767  ,
PacketMinSketch ,  32 ,  7 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.0  ,  1.10469607251  ,  3  ,  12  ,  7.30249  ,

PacketMinSketch ,  32 ,  8 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  3.0  ,  1.62057544156  ,  3  ,  20  ,  10.89248  ,
PacketMinSketch ,  32 ,  8 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.0  ,  1.26717016594  ,  3  ,  14  ,  8.3856  ,
PacketMinSketch ,  32 ,  8 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.0  ,  2.0  ,  1.10476476695  ,  3  ,  12  ,  7.30307  ,


PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.22222222222  ,  3.85714285714  ,  2.40888805628  ,  6  ,  30  ,  16.13644  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.11111111111  ,  2.57142857143  ,  1.5422597381  ,  5  ,  24  ,  10.24537  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.1  ,  2.0  ,  1.28028303499  ,  4  ,  16  ,  8.52907  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.22222222222  ,  4.0  ,  2.19947505916  ,  5  ,  28  ,  14.56293  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.1  ,  3.0  ,  1.63879192532  ,  5  ,  22  ,  10.83105  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.1  ,  2.0  ,  1.20489790332  ,  4  ,  18  ,  7.99001  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.2  ,  4.0  ,  2.27308254942  ,  5  ,  36  ,  15.1126  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.09090909091  ,  3.0  ,  1.69952629004  ,  5  ,  24  ,  11.1908  ,
PacketMinSketch ,  32 ,  5 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.09090909091  ,  2.5  ,  1.24415174423  ,  5  ,  18  ,  8.13497  ,

PacketMinSketch ,  32 ,  6 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.2  ,  4.8  ,  2.32926760029  ,  5  ,  48  ,  15.54511  ,
PacketMinSketch ,  32 ,  6 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.125  ,  3.0  ,  1.72389583947  ,  5  ,  30  ,  11.41291  ,
PacketMinSketch ,  32 ,  6 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.09090909091  ,  2.5  ,  1.29086243326  ,  5  ,  21  ,  8.45469  ,

PacketMinSketch ,  32 ,  7 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.2  ,  3.42857142857  ,  2.37049795851  ,  5  ,  25  ,  15.84063  ,
PacketMinSketch ,  32 ,  7 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.11111111111  ,  3.0  ,  1.78826212554  ,  5  ,  19  ,  11.81324  ,
PacketMinSketch ,  32 ,  7 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  2.58029  ,  2  ,  6  ,  4.08001  ,  1.1  ,  3.0  ,  1.39739796284  ,  5  ,  13  ,  9.10971  ,

