Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  3.52941176471  ,  2.17597478177  ,  3  ,  60  ,  26.38138  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.58823529412  ,  1.61859634133  ,  3  ,  44  ,  19.54501  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  1.77777777778  ,  1.39146180099  ,  3  ,  26  ,  16.8106  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  3.09090909091  ,  1.87421491135  ,  3  ,  52  ,  22.9308  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.72727272727  ,  1.37580392495  ,  3  ,  36  ,  16.83125  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  1.64705882353  ,  1.11266271583  ,  3  ,  28  ,  13.44376  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  3.11764705882  ,  1.70210540519  ,  3  ,  53  ,  20.50988  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.70588235294  ,  1.22410340794  ,  3  ,  46  ,  14.72669  ,
PacketMinSketch ,  32 ,  5 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.0  ,  1.10632874897  ,  3  ,  21  ,  13.2905  ,

PacketMinSketch ,  32 ,  6 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.5  ,  1.76685111862  ,  3  ,  38  ,  21.21258  ,
PacketMinSketch ,  32 ,  6 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.0  ,  1.2417340027  ,  3  ,  22  ,  14.83023  ,
PacketMinSketch ,  32 ,  6 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.0  ,  1.09167882105  ,  3  ,  21  ,  13.07259  ,

PacketMinSketch ,  32 ,  7 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.75  ,  1.84542510002  ,  3  ,  39  ,  22.16094  ,
PacketMinSketch ,  32 ,  7 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.0  ,  1.32250170356  ,  3  ,  23  ,  15.78954  ,
PacketMinSketch ,  32 ,  7 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.0  ,  1.12799963887  ,  3  ,  20  ,  13.48004  ,

PacketMinSketch ,  32 ,  8 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  3.0  ,  1.91858765007  ,  3  ,  40  ,  23.06114  ,
PacketMinSketch ,  32 ,  8 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  5  ,  2.1218  ,  2  ,  16  ,  9.90448  ,  1.0  ,  2.0  ,  1.35230899919  ,  3  ,  24  ,  16.17919  ,
