Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  3.5625  ,  2.34767661096  ,  3  ,  90  ,  44.04642  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  3.11111111111  ,  1.75863053456  ,  3  ,  64  ,  33.14276  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.04166666667  ,  1.4410261459  ,  3  ,  52  ,  26.80193  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  3.1  ,  2.31925771189  ,  3  ,  72  ,  43.31851  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.72727272727  ,  1.68202631966  ,  3  ,  46  ,  31.38453  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  1.73333333333  ,  1.3677972885  ,  3  ,  42  ,  25.62518  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  3.4  ,  2.05168967532  ,  3  ,  82  ,  38.75884  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.8125  ,  1.54446368172  ,  3  ,  56  ,  29.21821  ,
PacketMinSketch ,  32 ,  5 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.0  ,  1.18502785966  ,  3  ,  44  ,  22.15905  ,

PacketMinSketch ,  32 ,  6 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  3.15  ,  1.76262057293  ,  3  ,  83  ,  32.83464  ,
PacketMinSketch ,  32 ,  6 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.86363636364  ,  1.24503865916  ,  3  ,  67  ,  23.30235  ,
PacketMinSketch ,  32 ,  6 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.0  ,  1.1408974052  ,  3  ,  32  ,  21.21041  ,

PacketMinSketch ,  32 ,  7 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  3.14814814815  ,  1.76501033787  ,  3  ,  85  ,  32.63117  ,
PacketMinSketch ,  32 ,  7 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.0  ,  1.23432607502  ,  3  ,  39  ,  22.77735  ,
PacketMinSketch ,  32 ,  7 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.0  ,  1.13278336976  ,  3  ,  32  ,  21.07903  ,

PacketMinSketch ,  32 ,  8 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  3.0  ,  1.82030085214  ,  3  ,  60  ,  33.63445  ,
PacketMinSketch ,  32 ,  8 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.0  ,  1.26111356937  ,  3  ,  39  ,  23.26816  ,
PacketMinSketch ,  32 ,  8 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.0  ,  2.0  ,  1.10170401088  ,  3  ,  32  ,  20.42465  ,


PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.25  ,  4.72727272727  ,  3.7349545472  ,  6  ,  116  ,  69.60841  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.11111111111  ,  3.52941176471  ,  2.42302444944  ,  5  ,  90  ,  45.65027  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.07692307692  ,  2.33333333333  ,  1.60513337574  ,  4  ,  59  ,  29.91501  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.25  ,  4.69565217391  ,  3.29075599505  ,  5  ,  124  ,  61.16685  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.07692307692  ,  3.09090909091  ,  2.33755490687  ,  5  ,  72  ,  43.56506  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  129.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.05882352941  ,  2.0  ,  1.57530518974  ,  4  ,  46  ,  29.45541  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.25  ,  4.1  ,  3.36551773681  ,  5  ,  108  ,  62.85425  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  65.0  ,  100000 ,  2 ,  0.0  ,  0  ,  8  ,  1.79625  ,  2  ,  26  ,  16.78316  ,  1.05263157895  ,  3.125  ,  2.20874116222  ,  5  ,  82  ,  41.75664  ,
