Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  3.0  ,  1.65660335714  ,  3  ,  21  ,  9.91991  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.0  ,  1.20711634524  ,  3  ,  9  ,  7.16143  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  1.5  ,  1.05716534524  ,  3  ,  9  ,  6.30192  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.4  ,  1.7392015  ,  3  ,  16  ,  10.44673  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.0  ,  1.24511880952  ,  3  ,  10  ,  7.43348  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  1.5  ,  1.02600738095  ,  3  ,  8  ,  6.11627  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.5  ,  1.76436078571  ,  3  ,  17  ,  10.67773  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.0  ,  1.3157475119  ,  3  ,  11  ,  7.87924  ,
PacketMinSketch ,  32 ,  5 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.0  ,  1.12574034524  ,  3  ,  9  ,  6.71508  ,

PacketMinSketch ,  32 ,  6 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.57142857143  ,  1.70787290476  ,  3  ,  18  ,  10.37422  ,
PacketMinSketch ,  32 ,  6 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.0  ,  1.25757319048  ,  3  ,  12  ,  7.52311  ,
PacketMinSketch ,  32 ,  6 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.0  ,  1.09445582143  ,  3  ,  9  ,  6.50543  ,

PacketMinSketch ,  32 ,  7 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.75  ,  1.62407014286  ,  3  ,  19  ,  9.85238  ,
PacketMinSketch ,  32 ,  7 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  3  ,  1.71445  ,  2  ,  6  ,  4.24946  ,  1.0  ,  2.0  ,  1.313104  ,  3  ,  13  ,  7.83451  ,
