Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  3 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  3.83720930233  ,  2.66180008823  ,  3  ,  286  ,  170.88175  ,
PacketMinSketch ,  32 ,  3 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  3.34  ,  2.04846839678  ,  3  ,  203  ,  131.49885  ,
PacketMinSketch ,  32 ,  3 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  2.234375  ,  1.60356988595  ,  3  ,  163  ,  102.85312  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  3.66666666667  ,  2.57215657994  ,  3  ,  250  ,  164.90473  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  3.075  ,  1.89348244325  ,  3  ,  168  ,  121.21394  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  1.98076923077  ,  1.52736632165  ,  3  ,  136  ,  98.09934  ,

PacketMinSketch ,  32 ,  5 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  3.41538461538  ,  1.98356438955  ,  3  ,  279  ,  126.63981  ,
PacketMinSketch ,  32 ,  5 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  3.12676056338  ,  1.42294251919  ,  3  ,  236  ,  91.14852  ,
PacketMinSketch ,  32 ,  5 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  2.0  ,  1.28735768761  ,  3  ,  114  ,  82.04396  ,

PacketMinSketch ,  32 ,  6 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  3.53846153846  ,  2.1062950628  ,  3  ,  209  ,  133.71325  ,
PacketMinSketch ,  32 ,  6 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  2.58333333333  ,  1.48534444733  ,  3  ,  125  ,  94.2031  ,
PacketMinSketch ,  32 ,  6 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  2.0  ,  1.27105083708  ,  3  ,  117  ,  80.84088  ,

PacketMinSketch ,  32 ,  7 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  24  ,  3.02852  ,  2  ,  85  ,  60.83683  ,  1.0  ,  4.61538461538  ,  2.29895218241  ,  3  ,  220  ,  146.35429  ,
